TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO,TX_DURING_WEEKEND,TX_DURING_NIGHT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW
901777,2018-07-04 00:00:23,4353,4862,18.0,8121623,94,0,0,0,1,3.0,12.406666666666629,21.0,13.02095238095238,84.0,11.719047619047613,0.0,0.0,1.0,0.0,14.0,0.0
901778,2018-07-04 00:00:47,4305,9838,13.88,8121647,94,0,0,0,1,6.0,11.874999999999998,25.0,9.60080000000001,106.0,8.762169811320748,0.0,0.0,8.0,0.0,32.0,0.0
901779,2018-07-04 00:01:40,3360,7278,41.12,8121700,94,0,0,0,1,6.0,35.09166666666669,30.0,28.453333333333358,112.0,28.208214285714284,1.0,0.0,9.0,0.0,36.0,0.0
901780,2018-07-04 00:03:14,2219,2975,54.42,8121794,94,0,0,0,1,3.0,36.78666666666668,18.0,46.84722222222219,87.0,49.08896551724145,2.0,0.0,8.0,0.0,25.0,0.0
901781,2018-07-04 00:03:53,4963,9179,16.99,8121833,94,0,0,0,1,4.0,10.8975,26.0,11.766538461538467,117.0,11.574786324786334,1.0,0.0,5.0,0.0,33.0,0.030303030303030304
901782,2018-07-04 00:05:39,4440,6935,76.78,8121939,94,0,0,0,1,3.0,36.449999999999974,31.0,63.18838709677414,106.0,65.22896226415091,0.0,0.0,2.0,0.0,23.0,0.0
901783,2018-07-04 00:06:05,1978,873,88.9,8121965,94,0,0,0,1,6.0,77.61166666666662,30.0,86.62533333333323,111.0,86.82954954954967,2.0,0.0,16.0,0.0,48.0,0.0
901784,2018-07-04 00:08:01,3174,31,89.58,8122081,94,0,0,0,1,2.0,100.07500000000005,14.0,89.96000000000006,46.0,95.38195652173907,2.0,0.0,8.0,0.0,28.0,0.0
901785,2018-07-04 00:10:35,1881,8025,24.45,8122235,94,0,0,0,1,4.0,52.392499999999956,22.0,70.16500000000009,104.0,78.15855769230767,0.0,0.0,1.0,0.0,26.0,0.0
901786,2018-07-04 00:11:48,4462,2403,52.55,8122308,94,0,0,0,1,4.0,47.05500000000012,29.0,43.433103448275816,117.0,45.17017094017086,1.0,1.0,7.0,0.14285714285714285,35.0,0.02857142857142857
901787,2018-07-04 00:13:03,635,9022,43.36,8122383,94,0,0,0,1,4.0,32.175000000000026,29.0,21.85862068965518,111.0,22.563873873873888,0.0,0.0,5.0,0.0,17.0,0.0
901788,2018-07-04 00:14:10,1542,939,1.87,8122450,94,0,0,0,1,4.0,7.844999999999989,21.0,7.857619047619044,75.0,7.6308000000000025,1.0,0.0,5.0,0.0,19.0,0.0
901789,2018-07-04 00:14:16,3875,9305,59.08,8122456,94,0,0,0,1,3.0,55.4866666666667,15.0,51.21933333333327,79.0,46.605443037974666,1.0,0.0,8.0,0.0,31.0,0.0
901790,2018-07-04 00:14:26,2462,92,78.53,8122466,94,0,0,0,1,3.0,59.52000000000016,19.0,73.42789473684196,101.0,81.86762376237625,1.0,0.0,7.0,0.0,24.0,0.0
901791,2018-07-04 00:14:47,4660,3967,37.3,8122487,94,0,0,0,1,2.0,32.074999999999946,19.0,25.768421052631528,90.0,26.843666666666593,1.0,0.0,12.0,0.0,46.0,0.0
901792,2018-07-04 00:15:02,1621,2184,58.82,8122502,94,0,0,0,1,6.0,48.57333333333329,20.0,47.01400000000007,99.0,45.49727272727275,0.0,0.0,8.0,0.0,32.0,0.0
901793,2018-07-04 00:15:20,2556,6097,6.68,8122520,94,0,0,0,1,3.0,12.71333333333333,16.0,12.92562499999999,65.0,11.743230769230772,0.0,0.0,4.0,0.0,27.0,0.0
