TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO,TX_DURING_WEEKEND,TX_DURING_NIGHT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW
1083466,2018-07-23 00:00:30,819,6550,156.63,9763230,113,0,0,0,1,7.0,76.22285714285714,22.0,78.71181818181817,87.0,81.69620689655174,1.0,0.0,8.0,0.0,26.0,0.0
1083467,2018-07-23 00:02:13,4580,5705,6.22,9763333,113,0,0,0,1,3.0,9.23666666666667,24.0,8.803333333333333,95.0,8.358315789473687,1.0,0.0,8.0,0.0,24.0,0.0
1083468,2018-07-23 00:03:14,2689,483,15.79,9763394,113,0,0,0,1,2.0,9.185000000000073,10.0,26.368999999999964,61.0,24.282786885245894,3.0,0.0,8.0,0.0,21.0,0.0
1083469,2018-07-23 00:04:24,1014,5731,36.0,9763464,113,0,0,0,1,6.0,77.73333333333319,33.0,84.56787878787881,128.0,83.95507812500007,0.0,0.0,4.0,0.0,31.0,0.0
1083470,2018-07-23 00:04:42,3189,3812,71.47,9763482,113,0,0,0,1,1.0,71.47000000000017,6.0,71.35833333333335,36.0,73.45944444444447,0.0,0.0,6.0,0.0,31.0,0.0
1083471,2018-07-23 00:07:58,1124,6181,38.8,9763678,113,0,0,0,1,1.0,38.79999999999994,10.0,23.551,50.0,26.4042,2.0,0.0,10.0,0.0,31.0,0.0
1083472,2018-07-23 00:09:06,2119,803,4.85,9763746,113,0,0,0,1,1.0,4.849999999999978,16.0,7.221875000000002,76.0,7.042105263157894,0.0,0.0,6.0,0.0,35.0,0.0
1083473,2018-07-23 00:09:33,1778,1779,8.85,9763773,113,0,0,0,1,3.0,10.59666666666667,9.0,9.384444444444442,36.0,11.295000000000005,0.0,0.0,5.0,0.0,25.0,0.0
1083474,2018-07-23 00:12:05,3825,2320,44.47,9763925,113,0,0,0,1,8.0,74.55749999999993,32.0,71.16906249999991,102.0,72.4619607843137,0.0,0.0,3.0,0.0,21.0,0.047619047619047616
1083475,2018-07-23 00:12:10,1021,2106,86.78,9763930,113,0,0,0,1,5.0,54.63799999999996,22.0,68.17181818181822,98.0,61.35622448979597,1.0,0.0,12.0,0.0,38.0,0.0
1083476,2018-07-23 00:12:53,956,4287,40.16,9763973,113,0,0,0,1,1.0,40.15999999999991,10.0,26.984999999999992,46.0,26.17152173913044,0.0,0.0,6.0,0.0,30.0,0.0
1083477,2018-07-23 00:13:38,3231,6842,9.27,9764018,113,0,0,0,1,4.0,12.25000000000001,19.0,16.036315789473655,86.0,15.787209302325588,1.0,0.0,10.0,0.0,32.0,0.0
1083478,2018-07-23 00:14:23,4333,4358,41.31,9764063,113,0,0,0,1,4.0,103.91749999999992,32.0,92.6181249999999,126.0,91.4284126984127,0.0,0.0,6.0,0.0,32.0,0.03125
1083479,2018-07-23 00:15:30,1592,7496,77.53,9764130,113,0,0,0,1,3.0,34.52666666666672,19.0,57.15315789473677,71.0,56.01126760563378,1.0,0.0,5.0,0.0,39.0,0.0
1083480,2018-07-23 00:16:02,2111,6050,21.83,9764162,113,0,0,0,1,4.0,14.865000000000002,26.0,15.741538461538438,103.0,15.952038834951471,2.0,0.0,4.0,0.0,32.0,0.0
1083481,2018-07-23 00:17:21,4163,7615,96.23,9764241,113,0,0,0,1,2.0,90.08999999999953,30.0,101.4573333333333,107.0,96.81009345794392,2.0,0.0,11.0,0.0,40.0,0.025
